"CountyName","AverageIncome","CountyId","StateId"
"Penobscot County, Maine","25052","19","23"
"York County, Maine","32848","31","23"
"Allegany County, Maryland","20864","1","24"
"Anne Arundel County, Maryland","46368","3","24"
"Baltimore County, Maryland","37321","5","24"
"Calvert County, Maryland","47915","9","24"
"Carroll County, Maryland","40834","13","24"
"Cecil County, Maryland","33416","15","24"
"Charles County, Maryland","45313","17","24"
"Frederick County, Maryland","43187","21","24"
"Harford County, Maryland","40194","25","24"
"Howard County, Maryland","55763","27","24"
"Montgomery County, Maryland","46280","31","24"
"Prince George's County, Maryland","40044","33","24"
"St. Mary's County, Maryland","40903","37","24"
"Washington County, Maryland","30888","43","24"
"Wicomico County, Maryland","26844","45","24"
"Baltimore city, Maryland","30406","510","24"
"Barnstable County, Massachusetts","34566","1","25"
"Berkshire County, Massachusetts","31296","3","25"
"Bristol County, Massachusetts","32232","5","25"
"Essex County, Massachusetts","35534","9","25"
"Franklin County, Massachusetts","32854","11","25"
"Hampden County, Massachusetts","28425","13","25"
"Hampshire County, Massachusetts","30130","15","25"
"Middlesex County, Massachusetts","45874","17","25"
"Norfolk County, Massachusetts","46052","21","25"
"Plymouth County, Massachusetts","39456","23","25"
"Suffolk County, Massachusetts","33899","25","25"
"Worcester County, Massachusetts","35031","27","25"
"Allegan County, Michigan","29898","5","26"
"Bay County, Michigan","26360","17","26"
"Berrien County, Michigan","28319","21","26"
"Calhoun County, Michigan","26975","25","26"
"Clinton County, Michigan","34411","37","26"
"Eaton County, Michigan","33730","45","26"
"Genesee County, Michigan","27008","49","26"
"Grand Traverse County, Michigan","31302","55","26"
"Ingham County, Michigan","26053","65","26"
"Isabella County, Michigan","18314","73","26"
"Jackson County, Michigan","25666","75","26"
"Kalamazoo County, Michigan","27772","77","26"
"Kent County, Michigan","30865","81","26"
"Lapeer County, Michigan","30351","87","26"
"Lenawee County, Michigan","27189","91","26"
"Livingston County, Michigan","38331","93","26"
"Macomb County, Michigan","31143","99","26"
"Marquette County, Michigan","26853","103","26"
"Midland County, Michigan","29167","111","26"
"Monroe County, Michigan","31690","115","26"
"Muskegon County, Michigan","26834","121","26"
"Oakland County, Michigan","38531","125","26"
"Ottawa County, Michigan","31063","139","26"
"Saginaw County, Michigan","26796","145","26"
"St. Clair County, Michigan","28037","147","26"
"Shiawassee County, Michigan","29256","155","26"
"Van Buren County, Michigan","28158","159","26"
"Washtenaw County, Michigan","32605","161","26"
"Wayne County, Michigan","26757","163","26"
"Anoka County, Minnesota","40139","3","27"
"Blue Earth County, Minnesota","27437","13","27"
"Carver County, Minnesota","46958","19","27"
"Dakota County, Minnesota","41682","37","27"
"Hennepin County, Minnesota","40211","53","27"
"Olmsted County, Minnesota","38532","109","27"
"Ramsey County, Minnesota","32759","123","27"
"Rice County, Minnesota","31348","131","27"
"St. Louis County, Minnesota","27697","137","27"
"Scott County, Minnesota","42131","139","27"
"Sherburne County, Minnesota","36386","141","27"
"Stearns County, Minnesota","28232","145","27"
"Washington County, Minnesota","44711","163","27"
"Wright County, Minnesota","40614","171","27"
"DeSoto County, Mississippi","31184","33","28"
"Forrest County, Mississippi","17441","35","28"
"Harrison County, Mississippi","24552","47","28"
"Hinds County, Mississippi","24592","49","28"
"Jackson County, Mississippi","26127","59","28"
"Jones County, Mississippi","28622","67","28"
"Lauderdale County, Mississippi","20443","75","28"
"Lee County, Mississippi","28186","81","28"
